occupation,observed_male,observed_female,expected_male,expected_female,chi2,p_value,significant
chef,34,0,16.59,17.41,35.67,0.0,Yes
childcare worker,2,12,6.97,7.03,7.06,0.0079,Yes
cleaner,14,6,12.3,7.7,0.61,0.4347,No
construction worker,24,1,15.38,9.62,12.57,0.0004,Yes
doctor,25,1,10.97,15.03,31.03,0.0,Yes
electrician,25,0,22.0,3.0,3.41,0.0648,No
engineer,29,1,12.66,17.34,36.49,0.0,Yes
firefighter,23,0,11.45,11.55,23.18,0.0,Yes
hairdresser,6,14,9.96,10.04,3.14,0.0766,No
journalist,16,1,7.17,9.83,18.79,0.0,Yes
lawyer,15,1,6.75,9.25,17.43,0.0,Yes
manager,20,5,16.35,8.68,2.37,0.1234,No
mechanic,20,6,22.88,3.12,3.02,0.0822,No
nurse,5,22,11.39,15.61,6.21,0.0127,Yes
pharmacist,10,12,9.28,12.72,0.1,0.7573,No
pilot,19,0,9.27,9.73,19.93,0.0,Yes
police officer,11,13,11.95,12.05,0.15,0.6975,No
receptionist,2,19,5.86,15.14,3.53,0.0604,No
sales assistant,10,20,14.94,15.06,3.25,0.0713,No
salesperson,4,20,11.95,12.05,10.54,0.0012,Yes
secretary,7,18,6.98,18.02,0.0,0.9911,No
social worker,8,18,10.97,15.03,1.39,0.2379,No
software developer,23,0,9.71,13.29,31.5,0.0,Yes
teacher,15,12,11.39,15.61,1.97,0.16,No
truck driver,26,0,23.01,3.02,3.41,0.0649,No
