occupation,Female,Male,isco_category,expected_male_pct,expected_female_pct,female_difference
chef,0.0,100.0,Technicians,48.8,51.2,-51.2
childcare worker,85.71428571428571,14.285714285714285,Sales and Services,49.8,50.2,35.514285714285705
cleaner,30.0,70.0,Elementary Occupations,61.5,38.5,-8.5
construction worker,4.0,96.0,Elementary Occupations,61.5,38.5,-34.5
doctor,3.8461538461538463,96.15384615384616,Professionals,42.2,57.8,-53.95384615384615
electrician,0.0,100.0,Craft and related trade,88.0,12.0,-12.0
engineer,3.3333333333333335,96.66666666666667,Professionals,42.2,57.8,-54.46666666666666
firefighter,0.0,100.0,Sales and Services,49.8,50.2,-50.2
hairdresser,70.0,30.0,Sales and Services,49.8,50.2,19.799999999999997
journalist,5.88235294117647,94.11764705882352,Professionals,42.2,57.8,-51.917647058823526
lawyer,6.25,93.75,Professionals,42.2,57.8,-51.55
manager,20.0,80.0,Managers,65.4,34.7,-14.700000000000003
mechanic,23.076923076923077,76.92307692307693,Craft and related trade,88.0,12.0,11.076923076923077
nurse,81.48148148148148,18.51851851851852,Professionals,42.2,57.8,23.681481481481484
pharmacist,54.54545454545454,45.45454545454545,Professionals,42.2,57.8,-3.2545454545454575
pilot,0.0,100.0,Technicians,48.8,51.2,-51.2
police officer,54.166666666666664,45.83333333333333,Sales and Services,49.8,50.2,3.9666666666666615
receptionist,90.47619047619048,9.523809523809524,Clerks,27.9,72.1,18.376190476190487
sales assistant,66.66666666666666,33.33333333333333,Sales and Services,49.8,50.2,16.466666666666654
salesperson,83.33333333333334,16.666666666666664,Sales and Services,49.8,50.2,33.13333333333334
secretary,72.0,28.000000000000004,Clerks,27.9,72.1,-0.09999999999999432
social worker,69.23076923076923,30.76923076923077,Professionals,42.2,57.8,11.43076923076923
software developer,0.0,100.0,Professionals,42.2,57.8,-57.8
teacher,44.44444444444444,55.55555555555556,Professionals,42.2,57.8,-13.355555555555554
truck driver,0.0,100.0,Plant and Machine Operators,88.5,11.6,-11.6
