occupation,Afrikaans,English,difference
chef,0.0,0.0,0.0
childcare worker,33.33333333333333,100.0,66.66666666666667
cleaner,9.090909090909092,55.55555555555556,46.464646464646464
construction worker,10.0,0.0,-10.0
doctor,0.0,5.88235294117647,5.88235294117647
electrician,0.0,0.0,0.0
engineer,0.0,5.88235294117647,5.88235294117647
firefighter,0.0,0.0,0.0
hairdresser,77.77777777777779,63.63636363636363,-14.141414141414153
journalist,0.0,8.333333333333332,8.333333333333332
lawyer,0.0,11.11111111111111,11.11111111111111
manager,83.33333333333334,0.0,-83.33333333333334
mechanic,85.71428571428571,0.0,-85.71428571428571
nurse,37.5,100.0,62.5
pharmacist,66.66666666666666,52.63157894736842,-14.03508771929824
pilot,0.0,0.0,0.0
police officer,0.0,68.42105263157895,68.42105263157895
receptionist,0.0,100.0,100.0
sales assistant,0.0,100.0,100.0
salesperson,100.0,80.0,-20.0
secretary,0.0,100.0,100.0
social worker,0.0,90.0,90.0
software developer,0.0,0.0,0.0
teacher,0.0,63.1578947368421,63.1578947368421
truck driver,0.0,0.0,0.0
